actual,predicted
hawaiian airlines again lands at no.   in on time performance. the airline quality rankings report looks at the   largest american . airlines. expressjet and american airlines had the worst on time performance. virgin america had the best baggage handling; southwest had lowest complaint rate. ,
the   new cardinals will be installed on february  . they come from countries such as myanmar and tonga. no americans made the list this time or the previous time in francis' papacy. ,"pope francis said sunday that he would hold a meeting of cardinals on february   ""during which i will name   new cardinals who, coming from   countries from every continent, manifest the indissoluble links between the church of rome and the particular churches present in the world,"" according to vatican radio"
"new  bermudan premier  ""above all, this was a humanitarian act"". uyghurs are native chinese muslims; the detainees were apprehended in pakistan. china urges american . to hand over all   uyghurs held at guantanamo bay, cuba. official says american . still negotiating with palau to take remaining   uyghurs. ","hamilton, bermuda  cnn     four chinese nationals of uyghur ethnicity who had been held at the american."
"a   year old boy is the latest victim of a man eating leopard, a local police chief says. he suspects one leopard is behind the deaths of   people in the past   months. a reward has been offered to anyone who captures or kills the man eating creature. leopards are common in low mountain areas of nepal but usually eat wild prey like deer. ","kathmandu, nepal  cnn     a ferocious leopard may have killed   people in nepal in a   month span, its latest victim a   year old boy that the creature dragged away into the jungle to eat"
"new  kyle white  ""without this team, there would be no medal of honor"". new  he vows to ""live up to the responsibility"" of having the top military award. new  obama calls white ""a soldier who embodies the courage of his generation"". the army vet, then  , braved enemy fire to save his wounded comrades in afghanistan. ","cnn     kyle white now has two pieces of metal to wear    one, a bracelet inscribed with the names of his six comrades killed in an ambush in afghanistan, the other, a medal of honor given to him for his valor that ensured that death toll was not  higher..."
"the consumer electronics show brings a slew of new gadgets. tablets running googles android and microsofts windows   will debut. ultrabooks, a new type of thinner laptop, are expected to make a splash. but some of the largest players in the consumer electronics industry are shunning ces. ",.analysts expect to see a bevy of windows   tablets at ces.internet tvs that also do   d  tvs have long been the centerpiece of ces and of the consumer electronics industry as a whole
"manchester united again named footballs most valuable brand. the   time english champions are worth a reported    million. germanys bayern munich second on the list, worth an estimated    million. spanish rivals real madrid and barcelona both see small decreases in brand value. ","""  the top   is dominated by teams from the english premier league, with united and chelsea followed by     title winners manchester city in eighth     million   torres american ure of chelsea future  ""within europe, the premier league is still the pinnacle,"" explained chattaway.""  with such a huge gap between the sports most lucrative brands and those with less commercial appeal, are football clubs making the most of their financial potential   ""i think there is more scope for all the clubs to further maximize value    clubs have traditionally been slow and unimaginative in monetizing the brand they own,"" chattaway said"
cnns sara sidner sees another world in a tunnel below tripoli. gadhafi may have recorded his taped messages in a studio there. rebels are methodically searching through the winding passages. ,"tripoli, libya  cnn     rebels in tripoli furiously hunting for signs of longtime libyan leader moammar gadhafi are exploring a network of tunnels and bunkers built beneath his massive compound"
"new  cheney  harsh interrogations, warrantless eavesdropping ""essential"". new  former vice president says bush rebuffed his advice on two big issues. ""an administration has to be able to respond to [crises] and we did,"" cheney said. cheney cites costs of dealing with  /  attacks, wars in afghanistan and iraq. ",..
"omar gonzalez is accused of jumping the white house fence in september. an initial evaluation finds him not competent to stand trial. his attorney argues gonzalez is fine, but agrees to more thorough exam. ",###
this is the fourth shark attack in maui this year. it took place about   yards offshore. officials will decide thursday if the beach can reopen. ,
"contaminated cantaloupes have caused illnesses in   states, the cdc says. in addition to the deaths, a total of   people have fallen ill, the agency says. the fruits are thought to be tainted by listeria monocytogenes bacteria. colorado based jensen farms has recalled its cantaloupes. ","at least   people in   states have become ill with the bacteria, the agency said"
"the treasurys estimate is the first detailed analysis of the ongoing problem. with budget cuts, the irs cannot deal with the fraud, according to inspector general. irs says it stopped the issuance of   .  billion in potentially fraudulent tax returns. ","his projection of    billion is larger than any other estimate of identity theft tax fraud.""  in the past four years, he said, the irs has identified more than  ,  taxpayers who are the victims of identity theft.cnn     criminals who file fraudulent tax returns by stealing peoples identities could rake in an estimated    billion over the next five years because the irs cannot keep up with the amount of the fraud, treasury inspector general j"
a video featuring child actors has gone viral in mexico. it shows children facing the challenges the country faces. the video asks mexican presidential candidates for real change. some of the candidates have seen the video. ,"the video targets the major presidential candidates    enrique pena nieto, josefina vazquez mota and andres manuel lopez obrador    and aims to raise awareness about our mexico of the future"
white house  president obama has not decided on air strikes in syria. possible options include air strikes on isis targets in syria. some consider the group a direct threat to american . security. obama spent three years avoiding a american . military role in syria. ,"republicans urge airstrikes in syria to defeat isis     will the syrian regime that obama opposes help fight isis   obama wants al assad out of power, but now the syrian leader engaged in a civil war against a american.syria ready to cooperate with un to fight terror     will isis attack the west   to some in the united states, especially critics of obama, an isis attack on american"
"studies show that an essential nutrient in fish oil does not appear to slow mental decline. fish oil seems to be healthy in general, but does not benefit alzheimers patients cognitively. treatments such as dha could prevent or slow dementia if started earlier in life. ",###
"christopher meloni will join hbos ""true blood"" in season  . he will play an ""ancient, powerful vampire who holds the fate of bill and eric in his hands"". the actor previously played chris keller on the pay cablers gritty drama ""oz"". ","com     chris meloni has booked his first post ""svu"" gig    and it is  a bloody good one"
"judge orders all three men to be held in police custody. ""i organized this attack, but not to the extent that it happened,"" dancer says. police say the motive was a ""hostile relationship"". state media  filin had suffered intimidation, including threatening phone calls. ","two alleged co conspirators have been detained  alleged hit man yuri zarutsky    a burly, bearded russian who was previously convicted of beating someone to death    and andrey lipatov, who allegedly drove the getaway car after zarutksys battery acid attack on filin.act     moscow police headquarters  detectives pored over interviews with those who knew filin and had suspicions about who would harm him"
"ken klukowski  cases heard by supreme court could result in momentous change. he says there are questions of whether cases could be tossed because of special circumstances. if court issues sweeping ruling, it could deprive voters of chance to weigh in. klukowski  gay marriage is such a new phenomenon that court should not  freeze the debate. ","if the supreme court declares a constitutional right to marriage other than one man, one woman, then all traditional marriage laws in all   states will be invalid, and there will be a serious debate  already in a lower federal court  of whether polygamists also have a constitutional right to national recognition.doma passed in   with    of the american"
"liberia is one of the countries worst hit by the west african ebola outbreak. entire towns and villages have been placed into quarantine or abandoned by residents. health workers must ensure those who die of virus are buried safely, to avoid contamination. ""running away from ebola is not a solution    we have to face it, fight it,"" says alpha tamba. ","but then theres barkedu town    of the  ,  or so ebola related deaths in liberia,    of the victims have died in this single town.""  but he says that amid all the bad news, he is beginning to hear happier tidings  an increasing number of ebola survivors, people who initially tested positive for the virus but    because they reported it early and because of the medical teams' efforts    later recovered.""  read more  ebola death toll passes  , , outbreak worsens read more  ebola  nine things to know about the disease read more  ebola  your biggest questions answered"
"the first race of the   formula one season takes place in australia on sunday. turbo engines are back in the sport, with each car boasting a  .  liter v  hybrid. former f  winner jody scheckter expects f  technology to trickle down to road cars. for the first time in the sports history, double points will be awarded at the years final race. ",.
european footballs governing body reveals list of countries bidding to host   finals. the  th anniversary edition of the finals will be hosted by   countries. thirty two countries are considering bids to host   matches. uefa will announce host cities on september  . ,
"sunny hostin  the state attorney has made it clear that she alone will decide on charges. she says the public withdrawal by lawyers representing george zimmerman was strange. hostin  zimmermans actions may not have been covered by the ""stand your ground"" law. she says she believes in the jury system; it makes sense to let a jury decide. ",new york  cnn     northeast florida state attorney angela corey has made it clear that she alone will decide whether george zimmerman will be charged in the shooting death of trayvon martin.the police report describes martin as   feet tall and   pounds and lists zimmerman as   foot..
harvard bans all romantic relationships between professors and students. policy comes on heels of investigation into title ix violations. ,"harvard responded at the time by saying it had appointed its first ever title ix officer, and that the schools president ""recently announced the creation of a university wide task force    composed of faculty, students and staff    that will recommend how we can better prevent sexual misconduct at harvard"
"as the dust settles on italys palio de siena, cnn looks at wild horse festivals. includes fire leaping in spain and samurai battles in japan. a world away from traditional races such as royal ascot or kentucky derby. some ancient horse shows date back to  th century. ",
"new  libyas deputy foreign minister for european affairs meets with the greek prime minister. new  the envoy is expected to continue talks in turkey and malta, greek officials say. ""it is clear that the  libyan  administration is looking for a solution"". ","cnn     libyan deputy foreign minister abdelati obeidi flew to greece sunday to deliver a personal message from libyan leader moammar gadhafi, a greek foreign ministry official told cnn"
"a california court rules that sergio garcia can practice law. garcia is an undocumented immigrant. he says the ruling is a dream come true. but he wo not  practice immigration law, he says. ",
ana ivanovic has a new all serbian team behind her for the first time. the   year old has parted company with a number of coaches in the past. the serbians last grand slam success came at the french open in  . she is feeling confident about new season after finishing   ranked  th. ,"cnn     rip it up and start again.her desire to follow up that   french open win has also led ivanovic to ponder why she picked up a racket at the age of five in the first place    for the enjoyment.now ranked  th, she has been outside of the top   since june  , partly explained by her inability to reach the final four of a grand slam since that   win over dinara safina in paris"
"official monitor will oversee fdny hiring practices, federal judge rules. monitoring will be in place for at least   years, judge nicholas garaufis says. mayor michael bloomberg defends his record for improving minority recruiting. however, garaufis says testing and hiring procedures are discriminatory. ",###
"frida ghitis  american . cannot give in to isis threats, must focus on helping kurds of iraq. ghitis  united nations . resolution should declare that muslims, rest of the world find isis horrific. ghitis  american . should make sure this is not framed as a war against islam and the west. she says isis is a threat to the whole world; europeans are joining in big numbers. ","""  the american.isis is the enemy of anyone who does not belong to isis.""  isis can simply not be allowed to keep a foothold in the middle east.cnn     american journalist james foley was murdered, beheaded by an english speaking member of isis, the extremist group that calls itself the islamic state and has already conquered large swaths of two middle eastern countries"
"while egypt struggles to wade through political problems, its education system suffers. literacy rates are low and unemployment is high, especially among females. many middle class families are spending a large part of their income on private tutoring. a few start up companies have emerged, however, to address the education deficit. ","""  but until those solutions are offered, asmaa    and a whole generation in waiting    will continue to linger near broken slides, daydreaming about the future.for the    of egyptians who do not  have internet access    those who stand to gain the most from the service    nafham says it hopes to form group viewings in some villages."
"u.s. military official tells cnn the incident occurred on july  . rc   rivet joint was on electronic eavesdropping mission in international airspace. russians began tracking with ground radar, and sent at least one fighter to intercept. u.s. plane evaded encounter by flying into swedish airspace without permission. ","military plane in april  russian and american.on april  , a russian su   flanker fighter jet buzzed within   feet of the nose of a american"
"new  france summons syrias ambassador to protest an attack on its embassy. u.s. state department official  the syrian government incites anti american sentiment. also sunday, a state backed ""national dialogue"" meeting continued in damascus. ""the bloodshed needs to stop. ... excessive force is unjustified,"" one activist says. ","state department official said american.cnn     activists speaking at a syrian government sponsored ""national dialogue"" meeting sunday criticized recent crackdowns by the countrys security forces, calling for an end to violence against protesters"
"in the mid  s, a zambian school teacher wanted to send the first african to space. 'the afronauts' photo book is a fictional documentation of his endeavors. the work, by cristina de middel, has been shortlisted for the deutsche bã¶rse prize. ","de middel, whos never been to zambia, acknowledges shes not ""an expert in africa""    nor in space.unsurprisingly, the program, which was never taken seriously by the government of the newly independent zambia, failed to take off; a    million grant nkoloso said he would  requested from unesco never came, whilst the pregnancy of the   year old spacegirl brought the proceedings to an end"
"lawrence jacobs  mitt romney was shrewd in picking paul ryan as his running mate. jacobs  ryan can supercharge conservatives, who outnumber liberals   to  . he says there are signs that obama supporters wo not  actually cast a ballot. jacobs  using ryan to ignite the gop base is probably romneys best chance of prevailing. ",the percentage of voters   to   who say they will definitely vote in november      is currently running   points or more behind the national average today      or the youth turnout in        or.
"vince warren  at its best, american . has been key in championing universal human rights. warren  a longstanding law lets foreign victims of human rights abuse find justice in american . courts. supreme court to rule in international human rights case whether law will stand, he says. warren  if court upholds the law, the world will see american . still supports human rights for all. ","courts, and its animating idea    that people anywhere should have recourse for violations of the ""law of nations""    was the foundation of our modern understanding of human rights.cnn     an argument before the supreme court on october   inâ kiobel v"
protesters converge on hong kongs victoria park for a candlelight vigil. it is the  nd anniversary of the bloody crackdown on pro democracy protesters. the vigil is held after recent efforts to quash anti government demonstrations. ,hong kong  cnn     thousands of people filled hong kongs victoria park on saturday to mark the  nd anniversary of the bloody crackdown on pro democracy protesters in tiananmen square
"barack obama making case to nation for increasing military action against isis. john kerry in middle east trying to get more of the regions leaders on board. germany, uk, france to offer assistance; russia wary of potential american . strikes in syria. ",###
"u.s. and south korea teams are searching for chemicals at former military bases. toxic chemicals were buried at a american . in the  s, a american veteran alleges. agent orange has been linked to some cancers. ",cnn     south korea launched an investigation tuesday into reports of toxic chemicals being dumped at a former american
"ruben navarrette  nine dreamer activists were in federal immigration detention in arizona. they would  tried to re enter the american . asking for humanitarian parole or asylum and were jailed. he says they have been freed, granted immigration hearing, drew support from congress. navarrette  dreamers sometimes have look at me activism, but this request is valid. ",".the dream   are back where they belong    in the united states.who would not  have been   the nine    claudia amaro, adriana gil diaz, luis leon lopez, maria peniche vargas, ceferino santiago, lulu martinez valdez, mario felix garcia, marco saavedra and lizbeth mateo jimenez    spent more than two weeks in a federal immigration detention facility in eloy, az"
"two years ago, the worlds youngest country split from its northern nemesis, sudan. but during a recent visit, photographer fabio bucciarelli found ethnic violence raging. ",south sudan split from sudan in   as part of a peace deal that ended decades of war in africas largest nation.that war left   million people dead and ended with the peace agreement that included an independence referendum for the south
"space shuttle discovery launches just before midnight friday. discovery is scheduled to fly to international space station with a crew of seven. logistics module, science experiments, stephen colbert treadmill also aboard. ",cnn      space shuttle discovery launched just before midnight friday on a mission to the international space station
"from cnns global affiliates, check out some of this weeks extreme weather conditions. a typhoon in the philippines has killed   people and destroyed thousands of homes. near auckland, new zealand, a tornado injured more than   people. ",
"new  the retrial of former president hosni mubarak is adjourned until mid august. the retrial is being held for mubarak and his sons, as well as a former minister and security aides. mubarak was forced from office in february   following two weeks of mass street protests. mubarak was convicted last year but was granted a retrial after appealing his conviction. ","six of mubaraks former security aides last year were acquitted of charges related to the killings, and mubaraks two sons    gamal and alaa    were acquitted of corruption charges"
"singer carrie underwood uses lotion more than perfume. she counts calories, fat and fiber; cheese is her downfall. singer loves to play with makeup. ","i just laugh because the audience thinks this is so glamorous  and here i am under the stage with these ropes and equipment, my butt pressed against plastic  email to a friend  get a free trial issue of instyle   click here   copyright â©   time inc."
"man haron monis had history of ""infatuation with extremism and mental instability,"" abbott says. hostage taker was granted political asylum in australia in  ; was on bail for violent offending. his former lawyer says he campaigned against ""the victimization of muslims and islamists"". on monis' apparent website, there is a pledge of allegiance to isis. ",###
"if you have not  tried these street foods, you have not  been to delhi. the most iconic chaat are aloo tikki, dahi bhalla and papri chaat. the best kulfi ice cream is topped with rose milk faluda. ",###
"gmail mobile app is released, then pulled, from apples online store. the app was made available for the iphone, ipad and ipod touch. google said bugs broke the apps notification system and caused error messages. no word on when fixed gmail app will be released. ","""  the app."
"defense attorneys want john hinckley to be transitioned out of a mental hospital. ""the hospital does not  know what mr. hinckley is thinking,"" the prosecutor says. the hearing may determine whether to eventually free him from a mental hospital. after john hinckley shot reagan, he was found not guilty by reason of insanity. ","""  currently, hinckley is allowed to visit his mother   days a month.""  levine said that in the two and a half decades that hinckley has been at st.washington  cnn     a hearing continues thursday to determine the future of john hinckley jr"
"new  woman who alleges an affair with cain wants an apology. cain will endorse another candidate soon. cains iowa support fell to single digits, the des moines register reports. candidate was dogged by allegations of sexual harassment and an affair. ","his catchy ""     "" economic plan is not going anywhere, he said.""  recently, cain acknowledged that ginger whites allegations of an affair have led to a drop in campaign contributions, and a des moines register poll showed his support among likely republican iowa caucus goers has fallen to   , down from    in october.""  fellow georgian newt gingrich said the ""     "" plan ""got our country talking about the critical issue of how to reform our tax code and he elevated the dialogue of the republican presidential primary in the process"
"brandon stanton launched humans of new york blog. partnering with united nations ., hes on a world tour that started in iraq and jordan. his mini narratives reveal the struggles and dreams of ordinary people. ","his trademark    the micro narratives that accompany each image    has been imitated in the far reaches of the globe, from sydney to khartoum"
"john avlon  a new cnn poll shows a reversal in the character of two major parties. avlon  traditionally, gop coalesce around a front runner; democrats root for newcomers. now, gop has an eclectic pool of presidential candidates; democrats have hillary clinton. avlon  if clinton does not run, democrats will have almost no strong candidate. ",".traditionally, the governor of blue state new jersey would not  be on the gop radar at all, but christie    cruising to a landslide re election    seems to be the exception to this and other rules"
"customer booked an international flight through cheapoair.com. ticket for one leg of her flight was not accepted, and she had to buy a new one. the online agency did not know why her ticket was rejected. troubleshooter contacted cheapoair, and it refunded the customers money. ","cheapoair may    or may not    have been responsible for your non working tickets.is there anything you can do      eileen mather, glenside, pennsylvania  a  you should not  have to pay twice for your airline tickets"
"shanghai has long been a unique city in china. hybrid of eastern, western traditions is found nowhere else in mainland china. shanghai ranks sixth among world cities with the most skyscrapers, with  . shanghainese dialect is filled with localized english words. ",###
"moyo received   votes, opponent paul themba nyathi received   votes. themba nyathi represented the splinter mdc faction led by arthur mutambara. mdcs shuwa mudiwa and elia jembere arrested outside parliament building. ruling zanu pf party lost majority in   seat parliament in march elections. ","two members of the main mdc    led by presidential candidate morgan tsvangirai    were arrested as they arrived at the opening session, but they were released after a short time, according to a government spokesman"
"real talk about sex among families is more important than ever, ""speak"" author says. laurie halse andersons acclaimed young adult novel ""speak"" turns   this year. the novels central themes    teen rape and stigma    are still relevant, anderson says. ","""  for the  th anniversary of ""speak,"" anderson is lending her support  to the rape, abuse   incest national network, a resource for survivors of sexual violence.during   years of talking to high school students about sex and bullying, laurie halse anderson has continued to get the same questions from boys  why was the main character in her book, ""speak,"" so american et about what happened to her  did not  she want the attention of one of the popular boys  and why was the impact so traumatic   anderson, who published the award winning novel in  , believes the questions come from an honest place"
"detainees file suit against ice, allege they were injected with drugs. one detainee tells cnn  ""what they did to me was very, very bad"". ice says  ,  detainees have had ""medical escorts"" since  . sen. lieberman vows to investigate further; spokesman calls charges ""troubling"". ",he said he even had a federal stay of his deportation    and the paperwork to prove it    but his american.
"the titanic memorial cruise is to set sail in april  ,   years after the sinking. it will depart from southampton, england, on april  , just as the titanic did. the trip will end in new york, where the titanic was headed. ",###
"production had been stalled during negotiations. jim parsons, johnny galecki and kaley cuoco reportedly will own more of the show. two other cast members are said to still be in negotiations. ","production had been scheduled to begin july   and on  tuesday the company released a statement saying ""production on season   of 'the big bang theory' will begin wednesday, august  , with contract negotiations now having been concluded"
"new  mexican government says   people have died from virus. virus has spread to   countries, with hardest hit areas in the west. u.s. education department says outbreak has closed   schools in   states. vaccine could be made ""in a relatively short period of time,"" official says. ","mexican authorities say they have confirmed   deaths and at least   cases, and they suspect more than   deaths may have been caused by the flu.the world health organization said friday that the number of confirmed cases stood at   worldwide, including   in the united states and   in mexico"
"the whale was swimming just under the surface. it happened in tiny, remote angoon. ",hamm said the pilot told him he did not  notice the whale; he reacted to the commotion on the shore
new  former presidents carter and clinton praise bush for his initiatives in africa. new  bush says the countrys greatest days lie ahead. new  the george w. bush presidential center is dedicated. bush tells cnn he is aware it will rekindle debates about his legacy. ,.
"sebastien de la cruz,  , sang the national anthem at nba finals on tuesday. racists comments spread via twitter after the mexican american boys performance. sebastien stands resilient  ""i am  a proud american and live in a free country. it is  not hurting me."". father says he is not  ""taken the comments personally, ca not  satisfy everyone"". ","see the performance by sebastien de la cruz  heres a sampling of some of the unkind tweets that went flying around the internet about sebastien de la cruz      ""why they got a mexican kid singing the national anthem      "" from daniel gilmore.and, from the american latino museum, ""we are  proud of the   year old san anto native sebastien de la cruz for his amazing performance last night ""  san antonio is a multicultural city with more than    of the population being hispanic and    of those people identifying themselves as mexican according to the pew hispanic center"
timothy bradley faces manny pacquiao for the wbo welterweight title in las vegas saturday. the fight is a rematch of the bitterly contested first bout between the two in  . bradley scored a points victory but received death threats after the fight. ,cnn     timothy bradley says he needs to beat manny pacquiao for a second time in las vegas on saturday to move on from the controversial conclusion of their first fight two years ago
"china will launch an unmanned lunar probe in december. chang'e   will release a solar powered rover on the moons surface. the probe may interfere with a nasa lunar dust study, american . scientist says. ","the chang'e   probe    which will blast off from a long march  b rocket in sichuan province located in southwest china    is expected to land on the moons surface in mid december, a spokesman for the chinas state administration of science, technology and industry for national defence told xinhua"
"brad blausers wheelchairs for iraqi kids has distributed nearly   free wheelchairs. dallas native blauser lives in baghdad and works for free. ""disabled children    they are  really the forgotten ones in this war,"" he said. vote now for the cnn hero of the year at cnn.com/heroes. ",".""disabled children    they are  really the forgotten ones in this war,"" said blauser,"
experts  hurried adoptions can lead to trafficking and cause more trauma to children. aid groups say focus should be on reuniting kids with relatives. reports on plight of children in haiti has led many to ask about adoptions. ,cnn      the images of haitian children crying or injured or wandering the streets alone are heartbreaking.
hilton frankfurt airport is part of a mixed use complex atop a high speed rail station. alt hotel pearson in toronto features original art and egyptian cotton linens. guests at the element miami help make electricity by using the hotels stationary bikes. ,.planning a getaway  do not  miss travel + leisures guide to the worlds best hotels  copyright   american express publishing corporation
"gold bar stolen from key west, florida, museum is worth more than   , . video shows crime taking place, but leads are sparse. thieves often ca not  sell stolen treasures because legitimate collectors wo not  bite. but stolen treasures are often hard to find. ","key west, florida  cnn     for more than   years, the bulletproof museum case housed a small piece of yesteryear  a gold bar recovered from a sunken spanish galleon.."
"new  attorney for crane operator says his client is ""being made the scapegoat"". sean benschop was denied bail sunday. a law enforcement source says marijuana was found in the crane operators blood.   died,   were injured when a building being torn down collapsed onto a thrift store. ",
"savana redding was   when administrators suspected she was carrying drugs. no medication was found, and she later sued. justices  search was unreasonable, but individual school officials ca not  be sued. redding, now  , has said she has never gotten over her experience. ","washington  cnn     a former middle school student who was strip searched by school officials looking for ibuprofen pain medication won a partial victory of her supreme court appeal thursday in a case testing the discretion of officials to ensure classroom safety.""  opinions in   and   allowed schools to conduct random drug testing of high school athletes and those participating in other extracurricular activities."
"first major retrospective of pop artist andy warhols work exhibiting in china. warhol made first and only trip to china in  , which provided artistic inspiration. while iconic works are well recognized in china, few people connect them with warhol. warhol influenced chinese contemporary artists, most notably ai weiwei and xu bing. ","hong kong  cnn     when american pop artist andy warhol visited beijing in   and was told there was not  a mcdonalds, he replied  ""oh, but they will..."
"new  those arrested have been bailed and the searches are over, police say. four current and former sun employees had been arrested, news corp. says. a   year old police officer has also been arrested, london police say. the arrests were made as part of an investigation into corruption allegations. ","police said the operation was the result of information provided to police by news corporations management and standards committee  msc , which was set up to look into conduct at news international, a subsidiary of news corp.london  cnn     four current and former employees of britains sun newspaper were arrested by authorities investigating claims of inappropriate payments to police, news corp"
"matteo renzi is incoming pm of italy, a country with a fractious governing system. it is  not clear how the   year old will garner more support than his predecessors. the country has problems including its two trillion euro debt pile and high unemployment. but renzi has shown he is a long distance player    and has youth and stamina on his side. ","london  cnn     il rottomatore    or ""the demolition man""    is how italys incoming prime minister has come to be known, thanks in part to his pugnacious approach to politics"
"military forces say they have taken strongholds in northeastern mogadishu. the military cites ""a big achievement"". al shabaab claimed responsibility for an attack last week that killed dozens. ",other al shabaab attacks last week led to the deaths of at least   civilians
"new  defendant rachel wades lawyer says sentence is ""very fair"". wade sentenced in april   stabbing death of sarah ludemann. wade was convicted of second degree murder. the two women were involved with the same man. ",.
"next generation ipad could come in three different versions. currently  g ipad ships with a microsim card slot, which is only used on at t. if verizon gets iphone and ipad, it would greatly expand apples potential market. ",
the military kills more than   boko haram members in an operation in borno state. they also fend off an attack on a military checkpoint in yobe states capital.   suspected boko haram members die in fighting there. boko haram seeks to impose a strict version of sharia law across northeastern nigeria. ,###
"cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of barcelona, spain for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. ",###
"woman detonates bomb after saying she would  lost her wallet, istanbul governor says. attackers identity, motive not immediately known, governor says. attack happened at police station in popular tourism district. ",###
"theres a difference between running for president and ""running"" for president. scott brown served part of one term in the senate before losing his re election bid. theres almost no downside in a politician saying hes considering a presidential run. even some of his former advisers say they do not  know what brown is up to. ","why in the world would scott brown, a former half term senator from mitt romneys massachusetts, put himself in the mix for the   republican presidential nomination   the real question is  why not   when brown told the des moines register over the weekend that he was heading to the iowa state fair ""to determine whether theres an interest in my brand of leadership and republicanism,"" the news was met with some amusement by political insiders.another cruz trip to iowa stokes   speculation  ""the focus on the   presidential contest is completely ridiculous, and everybody knows it,"" wrote david weigel of slate after witnessing the cattle call.but what if brown takes off  what if he gains a toehold in new hampshire, rises to high single digits in the polls sometime in  , and gets invited to some republican primary debates  what if he rattles off a few good lines, has his moment in the sun, and then fades  he will have lost absolutely nothing    but gained a spot on some vice presidential short lists along with a hike in his post campaign speaking fees"
"he was released early after time off for good behavior and work credit, jail official says. dharun ravi is released after serving a jail sentence. he was convicted in may on charges related to recording his gay roommate. the roommate, tyler clementi, killed himself after learning of the recording. ","while ravi could have been sentenced to   years in prison, new jersey superior judge glenn berman instead gave him a   day jail sentence, three years of probation and ordered him to complete   hours of community service aimed at assisting victims of bias crimes"
"you do not  have to sit down to get great food in new york. opened in   in soho, a lone taco cart called calexico has expanded into a mini empire. new yorkers do not  need to go to new england for a good lobster roll, thanks to red hook lobster pound. lines form early for lumpia shacks philippines inspired food. ",###
