actual,predicted
white house  president obama has not decided on air strikes in syria. possible options include air strikes on isis targets in syria. some consider the group a direct threat to american . security. obama spent three years avoiding a american . military role in syria. ,"now the focus in america and abroad has become what will president barack obama and other leaders do about it   here are key questions on the matter      who killed james foley   britains ambassador to the united states, peter westmacott, told cnn on sunday that british officials were close to identifying the isis militant who beheaded foley, an american journalist captured in syria in. republicans urge airstrikes in syria to defeat isis     will the syrian regime that obama opposes help fight isis   obama wants al assad out of power, but now the syrian leader engaged in a civil war against a american"
"studies show that an essential nutrient in fish oil does not appear to slow mental decline. fish oil seems to be healthy in general, but does not benefit alzheimers patients cognitively. treatments such as dha could prevent or slow dementia if started earlier in life. ","com  fish oil does not  benefit new moms, babies  dha or fish oil supplements are not  likely to cause any harm to alzheimers patients, but they are not  likely to do any good either, says steven h"
"christopher meloni will join hbos ""true blood"" in season  . he will play an ""ancient, powerful vampire who holds the fate of bill and eric in his hands"". the actor previously played chris keller on the pay cablers gritty drama ""oz"". ","com     chris meloni has booked his first post ""svu"" gig    and it is  a bloody good one"
"judge orders all three men to be held in police custody. ""i organized this attack, but not to the extent that it happened,"" dancer says. police say the motive was a ""hostile relationship"". state media  filin had suffered intimidation, including threatening phone calls. ","police declared their case was solved this week with a confession by dmitrichenko  russian police question suspect in bolshoi directors acid attack  ""i organized this attack but not to the extent that it happened,"" he is heard saying in a video released by police. two alleged co conspirators have been detained  alleged hit man yuri zarutsky    a burly, bearded russian who was previously convicted of beating someone to death    and andrey lipatov, who allegedly drove the getaway car after zarutksys battery acid attack on filin"
"ken klukowski  cases heard by supreme court could result in momentous change. he says there are questions of whether cases could be tossed because of special circumstances. if court issues sweeping ruling, it could deprive voters of chance to weigh in. klukowski  gay marriage is such a new phenomenon that court should not  freeze the debate. ","windsor asks whether section   of the defense of marriage act, which defines marriage for federal law and programs as between one man and one woman, is unconstitutional. if the supreme court declares a constitutional right to marriage other than one man, one woman, then all traditional marriage laws in all   states will be invalid, and there will be a serious debate  already in a lower federal court  of whether polygamists also have a constitutional right to national recognition"
"liberia is one of the countries worst hit by the west african ebola outbreak. entire towns and villages have been placed into quarantine or abandoned by residents. health workers must ensure those who die of virus are buried safely, to avoid contamination. ""running away from ebola is not a solution    we have to face it, fight it,"" says alpha tamba. ","these men are part of the countrys ebola response team, specifically tasked with burying anyone suspected to have died of the ebola virus. the virus is spread through contact with the blood and body fluids of people infected with ebola, and it is still transferable even from a dead body. ""  read more  ebola death toll passes  , , outbreak worsens read more  ebola  nine things to know about the disease read more  ebola  your biggest questions answered"
"the first race of the   formula one season takes place in australia on sunday. turbo engines are back in the sport, with each car boasting a  .  liter v  hybrid. former f  winner jody scheckter expects f  technology to trickle down to road cars. for the first time in the sports history, double points will be awarded at the years final race. ","cnn     the big winners of this formula one season could be road drivers rather than f  racers, according to one former world champion. hamilton, a world champion in  , set the fastest time on the final day of the final test event in bahrain, but the quickest lap time of preseason was set by felipe massa of williams"
european footballs governing body reveals list of countries bidding to host   finals. the  th anniversary edition of the finals will be hosted by   countries. thirty two countries are considering bids to host   matches. uefa will announce host cities on september  . ,"the full list of countries and their proposed host cities is as follows  armenia  yerevan , azerbaijan  baku , belarus  minsk , belgium  brussels , bulgaria  sofia , croatia  zagreb , czech republic  prague , denmark  copenhagen , england  london , finland  helsinki , france  lyon , former yugoslav republic of macedonia  skopje , germany  munich , greece  athens , hungary  budapest , israel  jerusalem , italy  rome, milan , kazakhstan  astana , netherlands  amsterdam , poland  warsaw, chorzow , portugal  lisbon, porto , republic of ireland  dublin , romania  bucharest , russia  st petersburg , scotland  glasgow , serbia  belgrade , spain  madrid, barcelona, bilbao, valencia , sweden  solna , switzerland  basel , turkey  istanbul , ukraine  kyiv, donetsk  and wales  cardiff"
"sunny hostin  the state attorney has made it clear that she alone will decide on charges. she says the public withdrawal by lawyers representing george zimmerman was strange. hostin  zimmermans actions may not have been covered by the ""stand your ground"" law. she says she believes in the jury system; it makes sense to let a jury decide. ","new york  cnn     northeast florida state attorney angela corey has made it clear that she alone will decide whether george zimmerman will be charged in the shooting death of trayvon martin. recently she came under intense fire for charging   year old cristian fernandez as an adult in the killing of his   year old brother, making christian the youngest person in florida ever to be charged as an adult. floridas law states that a person who is not engaged in an unlawful activity and who is attacked in any place where he or she has a right to be has no duty to retreat and has the right to stand his or her ground and meet force with force, including deadly force. floridas statute makes it clear that the justification is not available to a person who initially provokes the use of force against himself, unless such force is so great that the person reasonably believes that he is in imminent danger of death or great bodily harm and that he has exhausted every reasonable means to escape"
harvard bans all romantic relationships between professors and students. policy comes on heels of investigation into title ix violations. ,
"as the dust settles on italys palio de siena, cnn looks at wild horse festivals. includes fire leaping in spain and samurai battles in japan. a world away from traditional races such as royal ascot or kentucky derby. some ancient horse shows date back to  th century. ","palio di siena, italy  on two days each year, the pretty town of siena in northern tuscany is transformed into an elaborate medieval race track, with   riders careering around the iconic city square three times"
"new  libyas deputy foreign minister for european affairs meets with the greek prime minister. new  the envoy is expected to continue talks in turkey and malta, greek officials say. ""it is clear that the  libyan  administration is looking for a solution"". ","cnn     libyan deputy foreign minister abdelati obeidi flew to greece sunday to deliver a personal message from libyan leader moammar gadhafi, a greek foreign ministry official told cnn"
"a california court rules that sergio garcia can practice law. garcia is an undocumented immigrant. he says the ruling is a dream come true. but he wo not  practice immigration law, he says. ","cnn     sergio garcia, a   year old undocumented immigrant in california, has held two lifelong dreams  to become a american"
ana ivanovic has a new all serbian team behind her for the first time. the   year old has parted company with a number of coaches in the past. the serbians last grand slam success came at the french open in  . she is feeling confident about new season after finishing   ranked  th. ,"""i have  been working really hard,"" ivanovic told retired grand slam champion kim clijsters in an interview for cnns open court show. ""i have a new team with me since wimbledon and it is  a serbian team for me for the first time. but can she beat petra kvitova and serena in a row ""  clijsters retired for a second time in  , having won four grand slams, as she decided to focus on her family    and has since had a second child"
"official monitor will oversee fdny hiring practices, federal judge rules. monitoring will be in place for at least   years, judge nicholas garaufis says. mayor michael bloomberg defends his record for improving minority recruiting. however, garaufis says testing and hiring procedures are discriminatory. ","district judge nicholas garaufis said the city needs ""to comprehensively reassess its policies and practices, to analyze the evidence showing the effect of those policies and practices, and to rationally consider how they can be changed to achieve a firefighter hiring process that is    in actual practice and effect    fair and open to all"
"frida ghitis  american . cannot give in to isis threats, must focus on helping kurds of iraq. ghitis  united nations . resolution should declare that muslims, rest of the world find isis horrific. ghitis  american . should make sure this is not framed as a war against islam and the west. she says isis is a threat to the whole world; europeans are joining in big numbers. ","cnn     american journalist james foley was murdered, beheaded by an english speaking member of isis, the extremist group that calls itself the islamic state and has already conquered large swaths of two middle eastern countries. the killing and the threat, along with all the evidence isis is leaving as it gouges its way across the region, are a direct challenge to the american people, to the american. first, obviously, it cannot give into isis threats and must continue helping dislodge isis from northern iraq where it is engaging in ethnic cleansing against christians and other minorities; kidnapping, raping and selling women; and massacring people"
"while egypt struggles to wade through political problems, its education system suffers. literacy rates are low and unemployment is high, especially among females. many middle class families are spending a large part of their income on private tutoring. a few start up companies have emerged, however, to address the education deficit. ","qena, egypt  cnn     in a deserted playground a few hundred miles south of cairo,   year old asmaa ashraf fiddles with a broken rusted slide. ""  such aspirations, however, amount to fantasy for most youth in a country still struggling to land on its feet after being turned completely american ide down. and as the government struggles to wade through the countrys protracted political problems, egypts festering education system is orphaned    even though, with a growing youth population, it is  key to the countrys future"
"u.s. military official tells cnn the incident occurred on july  . rc   rivet joint was on electronic eavesdropping mission in international airspace. russians began tracking with ground radar, and sent at least one fighter to intercept. u.s. plane evaded encounter by flying into swedish airspace without permission. ","air force spy plane evaded an encounter with the russian military on july  , just a day after malaysia airlines flight   was downed by a suspected surface to air missile that ukraine and the west allege was fired by pro russia rebels in eastern ukraine. plane had been flying in international airspace, conducting an electronic eavesdropping mission on the russian military, when the russians took the unusual action of beginning to track it with land based radar"
"new  france summons syrias ambassador to protest an attack on its embassy. u.s. state department official  the syrian government incites anti american sentiment. also sunday, a state backed ""national dialogue"" meeting continued in damascus. ""the bloodshed needs to stop. ... excessive force is unjustified,"" one activist says. ","""any dialogue must be based on the base of  al assads  stepping down from power,"" said a statement from the change in syria conference, an opposition group that called for al assad to hand over power to the vice president at a meeting in turkey last month. the french foreign ministry issued a statement sunday saying that its embassy had also been besieged by demonstrators, faulting syrian authorities for failing to stop the destruction of vehicles, burning of french flags and other damage"
"in the mid  s, a zambian school teacher wanted to send the first african to space. 'the afronauts' photo book is a fictional documentation of his endeavors. the work, by cristina de middel, has been shortlisted for the deutsche bã¶rse prize. ","read this  nigerian doctor takes to the skies  ""specially trained spacegirl matha mwambwa, two cats  also specially trained  and a missionary will be launched in our first rocket,"" wrote nkoloso, a grade school science teacher and self appointed director of the space academy. unsurprisingly, the program, which was never taken seriously by the government of the newly independent zambia, failed to take off; a    million grant nkoloso said he would  requested from unesco never came, whilst the pregnancy of the   year old spacegirl brought the proceedings to an end"
"lawrence jacobs  mitt romney was shrewd in picking paul ryan as his running mate. jacobs  ryan can supercharge conservatives, who outnumber liberals   to  . he says there are signs that obama supporters wo not  actually cast a ballot. jacobs  using ryan to ignite the gop base is probably romneys best chance of prevailing. ","cnn     by now, we are  on the same page that mitt romneys pick of paul ryan as his running mate contradicts a golden oldie of presidential election strategy    run to the conservative  or liberal  base to win the nomination and then reposition toward the center to lure the more moderate independent swing voters who are necessary to win the general election. a mainstay of gallups measure for determining who is likely to vote    whether survey respondents are thinking a lot about the election    shows not only that republicans are more attentive than democrats by   points but also more fired up than in recent presidential elections"
"vince warren  at its best, american . has been key in championing universal human rights. warren  a longstanding law lets foreign victims of human rights abuse find justice in american . courts. supreme court to rule in international human rights case whether law will stand, he says. warren  if court upholds the law, the world will see american . still supports human rights for all. ","the case concerns the torture of ogoni leaders in nigeria, but at stake is the future of the law under which this case was brought, the alien tort statute. the case has been brought in the united states because of our nations historical role in promoting the idea of universal rights and in the development of international human rights law"
protesters converge on hong kongs victoria park for a candlelight vigil. it is the  nd anniversary of the bloody crackdown on pro democracy protesters. the vigil is held after recent efforts to quash anti government demonstrations. ,hong kong  cnn     thousands of people filled hong kongs victoria park on saturday to mark the  nd anniversary of the bloody crackdown on pro democracy protesters in tiananmen square
"barack obama making case to nation for increasing military action against isis. john kerry in middle east trying to get more of the regions leaders on board. germany, uk, france to offer assistance; russia wary of potential american . strikes in syria. ",
"u.s. and south korea teams are searching for chemicals at former military bases. toxic chemicals were buried at a american . in the  s, a american veteran alleges. agent orange has been linked to some cancers. ",cnn     south korea launched an investigation tuesday into reports of toxic chemicals being dumped at a former american
"ruben navarrette  nine dreamer activists were in federal immigration detention in arizona. they would  tried to re enter the american . asking for humanitarian parole or asylum and were jailed. he says they have been freed, granted immigration hearing, drew support from congress. navarrette  dreamers sometimes have look at me activism, but this request is valid. ","who would not  have been   the nine    claudia amaro, adriana gil diaz, luis leon lopez, maria peniche vargas, ceferino santiago, lulu martinez valdez, mario felix garcia, marco saavedra and lizbeth mateo jimenez    spent more than two weeks in a federal immigration detention facility in eloy, az. some of these ""dreamers"" had been deported to mexico by the obama administration, though president obama has repeatedly said that his administration is not looking to deport dreamers  the name taken by young immigrants who are in the american. maybe there would be more compassion on the potomac if these young people had not  embarrassed obama, put the lie to the fairy tale that this administration has been compassionate toward immigrants, divided self serving organizations such as the lawyers group aila, and pitted one group of immigration reformers against another    those who want to protect the dreamers versus those who want to protect the president"
"two years ago, the worlds youngest country split from its northern nemesis, sudan. but during a recent visit, photographer fabio bucciarelli found ethnic violence raging. ","cnn when photographer fabio bucciarelli first visited south sudan, he found a nation filled with hope. south sudan split from sudan in   as part of a peace deal that ended decades of war in africas largest nation"
"space shuttle discovery launches just before midnight friday. discovery is scheduled to fly to international space station with a crew of seven. logistics module, science experiments, stephen colbert treadmill also aboard. ","""  colbert won an online poll conducted by nasa to name the newest space station compartment, but colbert and the space agency compromised to give the moniker to the treadmill"
"from cnns global affiliates, check out some of this weeks extreme weather conditions. a typhoon in the philippines has killed   people and destroyed thousands of homes. near auckland, new zealand, a tornado injured more than   people. ",unlikely typhoon in the philippines  typhoon bopha devastated the compostela valley region in the southern philippines early this week
"new  the retrial of former president hosni mubarak is adjourned until mid august. the retrial is being held for mubarak and his sons, as well as a former minister and security aides. mubarak was forced from office in february   following two weeks of mass street protests. mubarak was convicted last year but was granted a retrial after appealing his conviction. ","six of mubaraks former security aides last year were acquitted of charges related to the killings, and mubaraks two sons    gamal and alaa    were acquitted of corruption charges"
"singer carrie underwood uses lotion more than perfume. she counts calories, fat and fiber; cheese is her downfall. singer loves to play with makeup. ","always look the part  most of the time i slap on some makeup in the morning so i do not  look bad if somebody snaps a picture. i know i am  doing myself a disservice, but i would  rather put on a muumuu and have people at least think there might be a skinny person underneath than put on something tight and have them think, look at that gut"
"man haron monis had history of ""infatuation with extremism and mental instability,"" abbott says. hostage taker was granted political asylum in australia in  ; was on bail for violent offending. his former lawyer says he campaigned against ""the victimization of muslims and islamists"". on monis' apparent website, there is a pledge of allegiance to isis. ","man haron monis, an iranian born refugee who was granted political asylum in australia in  , had ""a long history of violent crime, infatuation with extremism and mental instability,"" australian prime minister tony abbott told reporters. ""  what we know, what we do not  know  accessory to murder, sex charges  the self styled muslim cleric, also known as sheikh haron, was facing dozens of charges at the time of the siege, including two counts of being an accessory to the murder of his ex wife, according to the attorney general of new south wales. who were the victims   an extremist theology  manny conditsis, a lawyer who acted for monis in relation to the accessory to murder and letter writing charges, told cnn his former client had been a cleric in shiite iran, but had become critical of the islamic republics government in the late  s, and fled to australia ""because he was going to be killed"
"if you have not  tried these street foods, you have not  been to delhi. the most iconic chaat are aloo tikki, dahi bhalla and papri chaat. the best kulfi ice cream is topped with rose milk faluda. ","as you plonk down in one of the galis tiny, crammed restaurants, you will  find a number of delicious offerings  indian rabri  sweet yogurt  parantha, mirch  red pepper  parantha, and lemon parantha  prepared from lemon zest, and probably the best this street has to offer. and bengali sweet house     , bengali market, connaught place, new delhi; +       ; open daily   a"
"gmail mobile app is released, then pulled, from apples online store. the app was made available for the iphone, ipad and ipod touch. google said bugs broke the apps notification system and caused error messages. no word on when fixed gmail app will be released. ","google announced a gmail app for the iphone, ipad and ipod touch that was designed to make it easier for the services more than   million users to navigate their mail. it will also feature the same priority inbox that gmails web version has and add a new mobile interface that will allow users to navigate their inbox more quickly with touch controls"
"defense attorneys want john hinckley to be transitioned out of a mental hospital. ""the hospital does not  know what mr. hinckley is thinking,"" the prosecutor says. the hearing may determine whether to eventually free him from a mental hospital. after john hinckley shot reagan, he was found not guilty by reason of insanity. ","in opening statements, prosecutor sarah chasson said secret service agents will testify they performed surveillance on hinckley without his knowledge earlier this year when he was allowed what he was told was american upervised free time in williamsburg. hinckleys attorney, barry levine, said the issue is not whether hinckley has sometimes been deceptive but whether he is dangerous. according to jones, hinckleys treatment team was informed by the secret service that hinckley had not told the truth about his activities during several visits"
"new  woman who alleges an affair with cain wants an apology. cain will endorse another candidate soon. cains iowa support fell to single digits, the des moines register reports. candidate was dogged by allegations of sexual harassment and an affair. ","atlanta  cnn     republican presidential hopeful herman cain told supporters saturday that he is suspending his presidential campaign, which has become hobbled in recent weeks by allegations of sexual harassment and an atlanta womans claim that they carried on a   year affair. ""  fellow georgian newt gingrich said the ""     "" plan ""got our country talking about the critical issue of how to reform our tax code and he elevated the dialogue of the republican presidential primary in the process. ""  in the interview, cain said his wife, knew nothing about white nor his financial support for her until the mother of two came forward last week"
"brandon stanton launched humans of new york blog. partnering with united nations ., hes on a world tour that started in iraq and jordan. his mini narratives reveal the struggles and dreams of ordinary people. ","""  'pack a bag and get ready to run'  the day stanton landed in iraq, isis captured the mosul dam"
"john avlon  a new cnn poll shows a reversal in the character of two major parties. avlon  traditionally, gop coalesce around a front runner; democrats root for newcomers. now, gop has an eclectic pool of presidential candidates; democrats have hillary clinton. avlon  if clinton does not run, democrats will have almost no strong candidate. ","but a fresh out of the oven cnn presidential poll shows a fractured gop field of newcomers with no clear front runner while the democrats have given an unprecedented lead to a brand name of their own  hillary clinton. and republicans are behaving like democrats, putting forward a fractured field with no clear front runners but elevating a new jersey governor, a wisconsin congressman and a kentucky senator to the front of the pack"
"customer booked an international flight through cheapoair.com. ticket for one leg of her flight was not accepted, and she had to buy a new one. the online agency did not know why her ticket was rejected. troubleshooter contacted cheapoair, and it refunded the customers money. ","tribune media services     when eileen mather lands in mexico city on her way to tapachula, mexico, she learns her airline ticket is not  valid. is there anything you can do      eileen mather, glenside, pennsylvania  a  you should not  have to pay twice for your airline tickets"
"shanghai has long been a unique city in china. hybrid of eastern, western traditions is found nowhere else in mainland china. shanghai ranks sixth among world cities with the most skyscrapers, with  . shanghainese dialect is filled with localized english words. ","lujiazui is home to the most recognized high rises in china, including the   meter oriental pearl tv tower, the   meter jinmao tower and the   meter shanghai world financial center. set to open toward the end of  , shanghai disneyland will be the first disney theme park in mainland china  hong kong disneyland opened in    and the sixth in the world. when the communist party took over in  , shikumen architecture was at its height    there were around  ,  shikumen buildings throughout central shanghai, each divided into tenements to house five or even ten families"
"moyo received   votes, opponent paul themba nyathi received   votes. themba nyathi represented the splinter mdc faction led by arthur mutambara. mdcs shuwa mudiwa and elia jembere arrested outside parliament building. ruling zanu pf party lost majority in   seat parliament in march elections. ","two members of the main mdc    led by presidential candidate morgan tsvangirai    were arrested as they arrived at the opening session, but they were released after a short time, according to a government spokesman"
"real talk about sex among families is more important than ever, ""speak"" author says. laurie halse andersons acclaimed young adult novel ""speak"" turns   this year. the novels central themes    teen rape and stigma    are still relevant, anderson says. ","during   years of talking to high school students about sex and bullying, laurie halse anderson has continued to get the same questions from boys  why was the main character in her book, ""speak,"" so american et about what happened to her  did not  she want the attention of one of the popular boys  and why was the impact so traumatic   anderson, who published the award winning novel in  , believes the questions come from an honest place. ""because boys and girls can be victims of rape, we need to try to teach them to make decisions about life that keep them safe, sober and with people they can trust, and make sure people who might be inclined to rape    who think they can get away with it    know they ca not  get away from it"
