actual,predicted
"savana redding was   when administrators suspected she was carrying drugs. no medication was found, and she later sued. justices  search was unreasonable, but individual school officials ca not  be sued. redding, now  , has said she has never gotten over her experience. ",###
"first major retrospective of pop artist andy warhols work exhibiting in china. warhol made first and only trip to china in  , which provided artistic inspiration. while iconic works are well recognized in china, few people connect them with warhol. warhol influenced chinese contemporary artists, most notably ai weiwei and xu bing. ",###
"new  those arrested have been bailed and the searches are over, police say. four current and former sun employees had been arrested, news corp. says. a   year old police officer has also been arrested, london police say. the arrests were made as part of an investigation into corruption allegations. ",###
"matteo renzi is incoming pm of italy, a country with a fractious governing system. it is  not clear how the   year old will garner more support than his predecessors. the country has problems including its two trillion euro debt pile and high unemployment. but renzi has shown he is a long distance player    and has youth and stamina on his side. ",###
"military forces say they have taken strongholds in northeastern mogadishu. the military cites ""a big achievement"". al shabaab claimed responsibility for an attack last week that killed dozens. ",###
"new  defendant rachel wades lawyer says sentence is ""very fair"". wade sentenced in april   stabbing death of sarah ludemann. wade was convicted of second degree murder. the two women were involved with the same man. ",###
"next generation ipad could come in three different versions. currently  g ipad ships with a microsim card slot, which is only used on at t. if verizon gets iphone and ipad, it would greatly expand apples potential market. ",###
the military kills more than   boko haram members in an operation in borno state. they also fend off an attack on a military checkpoint in yobe states capital.   suspected boko haram members die in fighting there. boko haram seeks to impose a strict version of sharia law across northeastern nigeria. ,###
"cnn.com will feature ireporter photos in a weekly travel snapshots gallery. please submit your best shots of barcelona, spain for next week. visit cnn.com/travel next wednesday for a new gallery of snapshots. ",###
"woman detonates bomb after saying she would  lost her wallet, istanbul governor says. attackers identity, motive not immediately known, governor says. attack happened at police station in popular tourism district. ",###
"theres a difference between running for president and ""running"" for president. scott brown served part of one term in the senate before losing his re election bid. theres almost no downside in a politician saying hes considering a presidential run. even some of his former advisers say they do not  know what brown is up to. ",###
"he was released early after time off for good behavior and work credit, jail official says. dharun ravi is released after serving a jail sentence. he was convicted in may on charges related to recording his gay roommate. the roommate, tyler clementi, killed himself after learning of the recording. ",###
"you do not  have to sit down to get great food in new york. opened in   in soho, a lone taco cart called calexico has expanded into a mini empire. new yorkers do not  need to go to new england for a good lobster roll, thanks to red hook lobster pound. lines form early for lumpia shacks philippines inspired food. ",###
"philip rubio says the american . postal service threatened by major cuts or even closure. he says post office represents people, places we rely on; cuts will have huge effect in american .. he says it is  a major employer, innovator and fulcrum of national communications system. rubio  congress must assume responsibilty for finding a way for postal service to stay afloat. ",###
"a cnn analysis of secret cables published by wikileaks reveals american . frustration. u.s. has concerns over economic reform, mubaraks lack of succession planning. cables also reveal washington sees egypt as an important and    until now    stable ally. ",###
"""as they see 'em"" is in depth look at baseball umpires. ""the complete game,"" by mets broadcaster ron darling, gets inside pitchers head. two positions have similarities  necessary command, some disrespect. ",###
executive order bars contractors covers lgbt employees; religious groups not exempt. it did not touch a previous order allowing religious groups to weigh faith in hiring decisions. opponents disappointed on decision involving religious groups. ,###
"in rural africa, there is love for soccer but sometimes a lack of resources. children often make their own soccer balls from rubbish and rope. diy soccer can bring joy to an entire village, said photographer jessica hilltout. ",###
it is  the first time a ban of a national committee has been lifted during an olympics. the ioc suspended india in   over the election of a tainted official to a top post. the indian olympic association has now held new elections that the ioc has approved. indian athletes will now be able to walk behind the national flag at sochis closing ceremony. ,###
"poets have long written about their mothers or to their mothers. robert louis stevenson  poem tells mother to hear ""the little feet along the floor"". julia kasdorfs poem tells how her mother taught her to comfort those in mourning. rudyard kiplings poem said his mother would love him even if he were hanged. ",###
"pornographic sex and visceral violence in ""antichrist"" shocked early audiences. von trier was accused of misogyny but claims to identify with the female character. ""antichrist"" stars charlotte gainsbourg and willem dafoe as a bereaved couple. von triers ""the idiots""     was first mainstream film to show non simulated sex. ",###
"the elderly woman suffered from diabetes and hypertension, ships doctors say. previously,   passengers had fallen ill on the ship, agencia brasil says. ",###
"army staff sgt. robert bales admitted to gunning down   civilians. the plea spares the   year old bales the prospect of a death sentence. a jury will decide whether he will have a chance at parole. afghan civilians have been called to testify about what they saw, survived. ",###
"a grainy sonar image has been spotted, an aircraft recovery group says. historian at amelia earhart birthplace museum skeptical of anything conclusive showing up. technology today is advanced enough to locate a plane, a trade association official says. ",###
"kazakhstans alexandre vinokourov wins gold. colombian rigoberto uran claimed silver, norways alexander kirstoff bronze. world champion mark cavendish finishes a disappointing  th. ",###
"a rebel group in congo killed at least   civilians, human rights watch said. the lords resistance army abducted   others including   children, the report said. lra forces attacked at least   villages from december   to  , the report claimed. cnn could not independently confirm reports of the massacre. ",###
caroline wozniacki beaten at the french open by daniela hantuchova. world number one loses         in just   minutes at roland garros. australian  th seed samantha stosur dumped out by gisela dulko. defending champion francesca schiavone through as shuai peng retires hurt. ,###
new  gillard says leadership issue settled conclusively. no challenges emerged to contest australian leadership. kevin rudd said he would not  stand against julia gillard. prime minister gillard called leadership vote for thursday. ,###
"body of ryan jenkins found hanged in british columbia hotel, police say. authorities say preliminary evidence points to suicide. body of jasmine fiore,  , found stuffed into a suitcase inside a dumpster. her teeth were extracted, fingers removed, making it harder to identify body. ",###
hong kong film production has dropped almost   percent since early  s. mainland investment and market influences quality of hong kong films. problems include few opportunities for new talents and little audience support. ,###
gujranwala has been largely free of the militant violence. three police officers were injured. the explosives were detonated by remote control. ,###
yaya toure believes newspapers must depict religion in a more respectful way. toure fears for the safety of his muslim friends in paris. the manchester city midfielder is currently with ivory coast ahead of the africa nations cup. ,###
jesse tyler ferguson and justin mikita launched tie the knot foundation. proceeds from the organization go toward the fight to legalize same sex marriage. ferguson said he is protective of their relationship. ,###
"ray liotta known for bad guy roles such as gangsters, serial killers. liotta tries something a little different with comedy ""observe and report"". ""edgy guys stand out in peoples minds,"" liotta has said. ",###
"mansfield  bush, blair should be tried for war crimes over invasion of iraq. mansfied  regime change is not permitted by the united nations . charter. mansfield  charter does not authorize preemptive action based on perceived threat. ",###
"london transport system crippled as tube workers go on strike. normal service not due to resume until friday morning. buses crammed with commuters; many chose to cycle, walk to work. rmt trade union called strike in dispute over pay, job cuts, disciplinary issues. ",###
new  the presidents of sudan and south sudan meet in juba. talks between south sudans government and rebels begin in ethiopia. south sudan erupted into violence in a december attempted coup. violence has raged since; both sides are now holding talks to seek a resolution. ,###
"saola caught on forest camera in vietnam. at most, only a few hundred saola thought to exist. species was first discovered in  . ",###
new  palestinian official    year old girl killed by israeli airstrike. new  israeli military  about   rockets from gaza since cease fires end. israel and hamas criticize one another for not doing more to halt violence. ,###
"libyan branch of isis claims responsibility; names attackers. libyan spokesman says death toll is at least   people at hotel and two attackers. siege is over and the gunmen are dead, hotel company spokesman says. an american security contractor is among the dead, his company says. ",###
new  hospital staff makes release recommendations. john hinckleys sister says she supports letting him eventually live in williamsburg. she says he feels comfortable there and is accepted by many community members. hinckley has been hospitalized since he shot president reagan in  . ,###
"new  sen. barack obama, house armed services chairman criticize scope, timing. new  iraq views decision as ""positive move,"" aide to iraqi leader says. iraq force to be trimmed by  , ; afghanistan force to rise by  , . president bush cites increased stability in iraq, stronger insurgency in afghanistan. ",###
"hello kitty is not a cat, anthropologist reveals ahead of retrospective. interview in la times ricocheted around internet among shocked fans. cat like character is a british girl who has a twin sister and a pet cat. ",###
cristina fernandez de kirchner has a blood clot on the surface of her brain. a month of rest is recommended. spokesman  the president suffered cranial trauma in august. ,###
"cartoon uses muscle bound character called voteman to persuade people to vote. voteman is depicted in a series of sexually suggestive and violent scenes. parliament speaker apologizes, says cartoon was ""more serious and offensive"" than intended. danish parliaments eu information center created cartoon ahead of european elections. ",###
"donald sterling shows 'neurodementia of the alzheimers type,' a doctor says. hes unaware of the season and ca not  spell 'world' backward, doctor adds. he shows 'early alzheimers disease' or other brain disease, second doctor says. findings are consistent with 'the general loss of brain tissue,' third doctor says. ",###
"rage against the machine has reissued its   album. review  only ""nevermind"" and ""the chronic"" rival it for ' s cultural impact. the reissued album comes with dvds of live shows and music videos. ",###
"the video games career mode offers rare video footage of the band playing. want to drum like tre cool  you might need the ""green day  rock band"" specific drum lessons. details make this game exciting for fans    even wardrobe is varied and historically correct. ",###
"russian state news says  ,  ukrainian troops in eastern ukraine. self declared mayor of slavyansk says diabetic hostage has the medicine he needs. ukraines security service says osce team is being held in ""inhumane conditions"". u.s. official says planned american . sanctions ""can have a significant impact"" on russia. ",###
"""  jump street"" morphs into an action comedy with a tonal complexity. what this interpretation sacrifices in teachable moments, it makes up for in intelligent giddiness. channing tatum has got bust out talents as a really funny, self aware comic actor. ",###
"kristin beck served as a navy seal for more than   years. known then as chris beck, the war veteran deployed   times. beck retired in   and has since come out as transgender. ""no one ever met the real me,"" she says. ",###
"this page includes the show transcript and the daily curriculum. use the transcript to help students with reading comprehension and vocabulary. the daily curriculums newsquiz tests students' knowledge of events in the news. at the bottom of the page, please share your feedback about our show and curriculum. ",###
"new  vice president joe biden praises ""my friend,"" plans to attend funeral tuesday. specter died of complications from non hodgkins lymphoma. he represented pennsylvania in the senate longer than anyone else. he was long one of the most prominent jewish american politicians. ",###
"nearly   endangered forest elephants were killed in   parks.   sudanese poachers on horseback are believed to be responsible. forest and savanna elephant populations have declined drastically. central african nations agree to mobilize  ,  soldiers to fight poaching. ",###
"new  army corps of engineers is expected to open the spillway once river flows hit a trigger. new  projections indicate the tipping point could come as early as saturday, jindal says. new  the morganza spillway has not been opened since  . opening the morganza spillway would flood the atchafalaya river basin. ",###
"johnson played the iconic role of professor roy hinkley on ""gilligans island"". johnson worked up until his death, signing autographs over holidays. he was ""just a positive and nice guy,"" his agent says. johnson,  , was an army air forces veteran of world war ii. ",###
"bureau official  ""between '  and '  there really was not "" much immigration change. notable increase in naturalized citizens, census bureaus elizabeth grieco says. mexican born population in american . dropped by about  ,  between   and  . ",###
"new  an algerian official says algeria does not  need help securing its energy facilities. new  algerians are searching hospitals, villages and more for missing, statoil reports. the number of those killed in the crisis will likely go up, an algerian official says. a new video reportedly claims responsibility in the name of al qaeda. ",###
"chinese french painter zao wou ki died tuesday at age  . zao was regarded as one of foremost chinese contemporary painters of the  th century. zao was uniquely able to combine cultures, aesthetic visions of france and china in his work. ",###
a norwegian citizen of somali descent is investigated in the kenya mall attack. kenyan antiterror sources say he may have ties to a suspected al shabaab commander. norwegian intelligence services are in kenya investigating both men. norwegian authorities have not yet released the norwegian citizens name. ,###
"  car bomb explosions kill  , injure   in baghdad, officials tell cnn. five killed when gunmen attack a police station in falluja. army general dies when bomb explodes in his convoy in northern mosul. ",###
sources  mist and sand created poor flying conditions for the pilot of crashed plane. family says   year old sole survivor knows his immediate family were killed in plane crash. dutch foreign ministry sending experts to tripoli to help authorities identify victims. ,###
"woman went to southwestern christian university on a sports scholarship. letter  an official says minards marriage to another woman violates school policy. minard admits signing a morality pact, but thinks shes singled out for being lesbian. she says you can ""have faith in god and live a gay lifestyle"". ",###
"report  spice girl mel b. is joining ""americas got talent"" as a judge. the singer/tv personality is experienced with reality shows. ""agt"" is said to be considering hiring a fourth judge. ",###
"chavis  ""all the money in the world"" is not  enough to help poorly run schools. author  i turned ""worst middle school in oakland"" into a top scoring school. d.c., detroit, l.a. produce poor results at extraordinary taxpayer cost, chavis says. obama is right to require accountability in return for reform money, chavis says. ",###
"the four suspects are said to be members of hezbollah. rafik hariri was assassinated february  ,  , in beirut. lebanese authorities say they ca not  get their hands on the suspects. ",###
"three turbulence related deaths since  , faa says. at least two of the three were people not wearing seat belts. turbulence is caused by quick changes in air movement. air pockets from ""clear air"" turbulence are hard to detect. ",###
"two russian planes flew within   feet of american . navy aircraft carrier. that flyover is lower than others russians have made over american . ships this year. u.s. aircraft tried contacting russian planes, but pilots did not  respond. u.s. fighter jets met up with russian planes, flew with them until they left. ",###
a futuristic proposal flips the traditional designs of todays major train stations vertically. the vertical hyper speed train hub wants to cut the footprint of rail terminals by  . the proposal won an honorable mention in  s evolo skyscraper competition. ,###
judge orders brown to come back to court on june  . prosecutors accuse brown of not finishing   days of community labor. brown pleaded guilty to a felony assault charge in the beating of rihanna in  . browns lawyer called the prosecutors filing 'fraudulent'. ,###
"mahmoud ahmadinejad presides over regime that commits atrocities, says hamid dabashi. he says american television interviewers are not  sufficiently challenging in their questions. dabashi says ahmadinejad lied in denying iranian woman was sentenced to stoning. ",###
chelsea have completed the signing of bolton central defender gary cahill. the   year old england international joins chelsea for a fee of   .  million. cahills transfer is the biggest in england so far during the transfer window. eric abidal signs a new contract with barcelona to end speculation about his future. ,###
"nigeria is one of worlds richest oil states; people are among poorest in world. nigerian agency     billion to    billion in oil profits squandered, stolen. militant group mend attacks oil pipelines, demands profits given to nigerian people. un  niger delta has had more than  ,  spills;   times more than exxon valdez. ",###
"after rosy polls, cnns pivit puts republicans' chances of winning a senate majority at   . pivit gives the gop strong odds of picking off democratic seats in iowa, colorado and arkansas. democrats could hold seats in north carolina and new hampshire, the analysis suggests. ",###
"every president except for jfk and barack obama has been a white protestant. dean obeidallah  wasps have had an amazing run, but times have changed. he says political parties are increasingly reflecting the new face of america. obeidallah  changing voting rights laws have made our political system more democratic. ",###
abraham pearson escaped from holding cell while awaiting sentencing. police say he drove off in a carjacked minivan. sheriff  the escape attempt will add the suspect   more chages. ,###
"wirathu, an ultra nationalist buddhist monk in myanmar, calls united nations . official a ""whore"". u.n. human rights chief responds sharply, calling on myanmars leaders to condemn him. wirathu is the leader of the   movement, blamed for stoking anti muslim sentiment. ",###
"japans ""transformers  headmasters"" released in american . for the first time. it is  the latest example of fans influencing what material is seen by the public. japan took american . ""transformers"" cartoon in wild new directions. the release reignited the anime ""subbed vs. dubbed"" debate in some circles. ",###
